Type,Algorithm,Best Use Case,Key Fundamentals to Know,Libraries,Real-World Example,Hyperparameters to Tune,Speed (Training/Prediction),Deployment Strategy,Complexity (Low/Med/High),Evaluation Metric(s),Higher or Lower,What It Evaluates,Evaluation Metrics
Supervised - Classification,Logistic Regression,"Binary classification, baseline model","Feature scaling, Linear relationship assumption","sklearn, statsmodels","Spam detection, Credit scoring","C, penalty, solver",Fast / Fast,"Flask, FastAPI, ONNX",Low,"Accuracy, AUC, F1","Accuracy (Higher-is-Better), AUC (Higher-is-Better), F1 (Higher-is-Better)",Evaluates classification correctness and separability,"Accuracy (Higher-is-Better) -  Correct predictions
AUC (Higher-is-Better) -  Separability
F1 (Higher-is-Better) -  Harmonic mean of precision and recall"
Supervised - Classification,K-Nearest Neighbors (KNN),Pattern recognition with few samples,"Distance metrics, Scaling required",sklearn,"Recommendation systems, Handwriting recognition","n_neighbors, weights",Slow / Medium,"Pickle, Streamlit",Medium,"Accuracy, Confusion Matrix",Accuracy (Higher-is-Better),Prediction correctness and error breakdown,"Accuracy (Higher-is-Better) -  Correctness
Confusion Matrix - TP, FP, TN, FN analysis"
Supervised - Classification,Support Vector Machine (SVM),High-dimensional data classification,"Kernel trick, Hyperplane separation",sklearn,"Text classification, Image recognition","C, kernel, gamma",Slow / Medium,"ONNX, FastAPI",High,"Accuracy, ROC AUC","Accuracy (Higher-is-Better), ROC AUC (Higher-is-Better)",Class separability and accuracy,"Accuracy (Higher-is-Better) -  Correctness
ROC AUC (Higher-is-Better) -  Threshold-independent separation"
Supervised - Classification,Decision Tree Classifier,Interpretable rule-based model,"Overfitting control, Feature importance",sklearn,"Loan approval, Customer churn","max_depth, min_samples_split",Medium / Fast,"Flask, Pickle",Medium,"Accuracy, Gini","Accuracy (Higher-is-Better), Gini (Lower-is-Better)",Correct predictions and split impurity,"Accuracy (Higher-is-Better) -  Correct classification
Gini(Lower-is-Better) - Split quality"
Supervised - Classification,Random Forest Classifier,Robust ensemble of trees,"Bagging, Feature randomness",sklearn.ensemble,"Fraud detection, Disease diagnosis","n_estimators, max_depth, max_features",Medium / Fast,"Docker, MLflow",Medium,"Accuracy, AUC","Accuracy (Higher-is-Better), AUC (Higher-is-Better)",Improved stability and performance,"Accuracy (Higher-is-Better) -  Overall correctness
AUC (Higher-is-Better) -  Separability measure"
Supervised - Classification,Gradient Boosting Classifier,Boosted trees for improved accuracy,"Sequential learning, Learning rate tuning","xgboost, lightgbm, catboost","Click prediction, Ranking tasks","n_estimators, learning_rate, max_depth",Slow / Fast,"MLflow, FastAPI",High,"LogLoss, AUC","LogLoss (Lower-is-Better), AUC (Higher-is-Better)",Error penalization and ranking ability,"LogLoss(Lower-is-Better) - Confidence penalty
AUC (Higher-is-Better) -  Class separation"
Supervised - Classification,Naive Bayes,Probabilistic text classification,Feature independence assumption,sklearn,"Sentiment analysis, Document classification",var_smoothing,Fast / Fast,"Pickle, Streamlit",Low,"Accuracy, LogLoss","Accuracy (Higher-is-Better), LogLoss (Lower-is-Better)",Prediction confidence and correctness,"Accuracy (Higher-is-Better) -  Prediction match
LogLoss(Lower-is-Better) - Probabilistic penalty"
Supervised - Classification,MLP Classifier (Neural Network),Learning complex non-linear patterns,"Backpropagation, Layer tuning",sklearn.neural_network,"Digit recognition, Medical diagnosis","hidden_layer_sizes, alpha, solver",Slow / Fast,"ONNX, TensorFlow Lite",High,"Accuracy, Cross-Entropy","Accuracy (Higher-is-Better), Cross-Entropy (Lower-is-Better)",Classification and prediction confidence,"Accuracy (Higher-is-Better) -  Classification score
Cross-Entropy(Lower-is-Better) - Confidence-based error"
Supervised - Classification,Quadratic Discriminant Analysis (QDA),Gaussian-based classification with quadratic boundaries,"Covariance matrix handling, Normality assumption",sklearn,"Iris classification, Simple biometrics",reg_param,Fast / Fast,Pickle,Medium,Accuracy,Accuracy (Higher-is-Better),Prediction quality,Accuracy (Higher-is-Better) -  Percentage of correct classification
Supervised - Classification,Linear Discriminant Analysis (LDA),Dimensionality reduction + classification,"Gaussian assumption, Linear boundaries",sklearn,"Face recognition, Document classification","solver, shrinkage",Fast / Fast,Pickle,Medium,Accuracy,Accuracy (Higher-is-Better),Class separation based on projections,Accuracy (Higher-is-Better) -  Classification performance
Supervised - Classification,"Rule-Based Classifier (e.g., RIPPER)",IF-THEN rule interpretable models,"Rule induction, Pruning","wittgenstein, mlxtend","Credit scoring, Policy modeling",max_rules,Medium / Medium,Custom deployment,Low,Accuracy,Accuracy (Higher-is-Better),Interpretability and rule match,Accuracy (Higher-is-Better) -  Rule-based prediction score
Supervised - Regression,Linear Regression,Predicting continuous outcomes,"Linearity, Homoscedasticity","sklearn, statsmodels",House price prediction,"fit_intercept, normalize",Fast / Fast,"Flask, FastAPI, ONNX",Low,"MSE, RMSE, R2","MSE (Lower-is-Better), RMSE (Lower-is-Better), R2 (Higher-is-Better)",Measures prediction error and model fit,"MSE(Lower-is-Better) - Avg squared error
RMSE(Lower-is-Better) - Root of squared error
R2 (Higher-is-Better) -  Explained variance"
Supervised - Regression,Ridge Regression,Regularized linear regression,L2 regularization,sklearn,Stock price modeling,"alpha, solver",Fast / Fast,"Flask, FastAPI, ONNX",Low,"MSE, R2","MSE (Lower-is-Better), R2 (Higher-is-Better)","Improves generalization, penalizes large coefficients","MSE(Lower-is-Better) - Avg error
R2 (Higher-is-Better) -  Explained variance"
Supervised - Regression,Lasso Regression,Sparse feature selection,L1 regularization,sklearn,Feature selection in finance,alpha,Fast / Fast,"Flask, FastAPI, ONNX",Low,"MSE, R2","MSE (Lower-is-Better), R2 (Higher-is-Better)","Promotes sparsity, useful for feature selection","MSE(Lower-is-Better) - Avg error
R2 (Higher-is-Better) -  Explained variance"
Supervised - Regression,ElasticNet,Hybrid regularized regression,L1 + L2 penalty,sklearn,High-dimensional datasets,"alpha, l1_ratio",Fast / Fast,"Flask, FastAPI, ONNX",Medium,"MSE, R2","MSE (Lower-is-Better), R2 (Higher-is-Better)",Balances sparsity and shrinkage,"MSE(Lower-is-Better) - Avg error
R2 (Higher-is-Better) -  Explained variance"
