customer_id,age,income,employment_status,credit_card_limit,num_credit_cards,credit_score,loan_balance,avg_monthly_spend,missed_payments,region
CUST00000,56,42952.26,Unemployed,9026.7,0,774.0,13882.23,2142.49,2,West
CUST00001,69,69507.31,Freelancer,16004.73,1,754.0,6338.18,1373.8,1,East
CUST00002,46,72649.08,Freelancer,9410.59,6,720.0,13418.14,1397.71,0,Central
CUST00003,32,50516.44,Unemployed,12264.08,2,728.0,35450.65,2103.35,3,West
CUST00004,60,44564.56,Retired,12156.74,4,802.0,15181.27,1528.36,0,South
CUST00005,25,92190.41,Unemployed,6459.93,2,719.0,27489.93,1670.7,2,Central
CUST00006,38,64549.92,Retired,4463.82,0,647.0,6338.24,1736.66,0,North
CUST00007,56,72719.36,Employed,12462.95,1,741.0,5186.24,1334.91,4,East
CUST00008,36,43558.48,Employed,6749.36,1,676.0,4432.63,1489.23,0,Central
CUST00009,40,35614.31,Employed,5007.45,5,704.0,10136.99,1789.37,1,Central
CUST00010,28,48611.0,Employed,13078.49,1,686.0,8483.88,1790.71,1,South
CUST00011,28,57519.57,Freelancer,6941.72,1,645.0,28884.94,2116.22,3,West
CUST00012,41,38715.6,Employed,7682.45,1,695.0,1791.93,2142.77,2,South
CUST00013,53,59803.1,Retired,15923.12,2,728.0,12113.12,2531.2,1,North
CUST00014,57,26229.9,Employed,5020.79,1,717.0,7747.79,896.18,2,West
CUST00015,41,37599.05,Employed,6231.14,2,704.0,41605.61,2347.77,2,Central
CUST00016,20,73418.22,Employed,8620.91,1,670.0,23295.12,1595.68,0,Central
CUST00017,39,72075.81,Employed,9279.23,2,597.0,8520.23,2194.96,1,South
CUST00018,19,52162.46,Employed,7318.76,4,678.0,15350.35,2003.65,2,West
CUST00019,41,39644.71,Employed,6524.03,0,708.0,20532.19,1453.67,1,South
CUST00020,61,39451.93,Freelancer,14529.98,1,572.0,1106.98,2712.06,0,West
CUST00021,47,52534.64,Employed,10788.96,1,677.0,16799.98,2256.73,1,South
CUST00022,55,72890.37,Employed,11755.51,3,675.0,2253.45,2052.43,0,South
