employee_id,age,gender,marital_status,department,job_role,education_level,monthly_income,total_working_years,years_at_company,years_in_current_role,num_companies_worked,overtime,job_satisfaction,work_life_balance,distance_from_home,training_times_last_year,performance_rating,attrition
EMP00000,50,Male,Divorced,Support,Manager,2,3444.94,1,15,5,1,0,2,3,10.4,5,4,0
EMP00001,36,Male,Divorced,Sales,Analyst,4,6218.87,25,7,0,2,1,2,3,0.4,5,3,0
EMP00002,29,Male,Divorced,R&D,Manager,2,3298.27,19,4,1,1,1,2,4,22.8,1,2,0
EMP00003,42,Male,Single,Engineering,Executive,3,4197.5,2,10,5,3,0,3,4,12.7,0,3,0
EMP00004,40,Other,Single,Support,Sales Rep,5,7033.5,12,10,1,3,0,4,3,0.8,0,4,0
EMP00005,44,Male,Married,R&D,Executive,3,4992.35,25,9,13,5,0,3,3,8.8,1,4,0
EMP00006,32,Male,Single,Support,Manager,2,5691.76,32,12,3,2,0,3,3,53.5,5,3,1
EMP00007,32,Male,Single,Engineering,Manager,5,1938.53,18,10,8,0,0,3,3,0.9,0,4,0
EMP00008,45,Female,Single,HR,Analyst,3,4524.1,31,18,13,3,0,3,4,0.2,4,4,0
EMP00009,57,Male,Married,HR,Manager,2,5423.11,9,0,2,1,0,2,2,4.4,5,3,0
EMP00010,45,Female,Married,HR,Analyst,3,5142.99,21,10,13,1,0,4,3,6.4,0,4,0
EMP00011,24,Female,Divorced,Engineering,Analyst,3,6182.17,7,3,4,5,0,3,3,8.2,0,3,1
EMP00012,43,Male,Divorced,Sales,Manager,3,4049.65,13,0,13,1,1,3,4,6.0,2,3,0
EMP00013,23,Male,Single,Engineering,Analyst,5,6720.9,20,5,2,4,0,3,2,10.4,2,3,0
EMP00014,45,Male,Single,Engineering,Sales Rep,3,4306.37,13,15,7,0,0,3,4,15.0,3,3,1
EMP00015,51,Female,Married,R&D,Executive,2,5034.14,28,9,9,2,1,3,3,0.6,0,2,0
EMP00016,59,Male,Divorced,HR,Manager,3,3518.53,25,10,4,1,1,4,4,5.5,1,3,1
EMP00017,23,Male,Divorced,Support,Analyst,2,5830.44,26,15,9,2,0,1,3,1.6,0,3,0
EMP00018,42,Male,Divorced,Sales,Analyst,3,3861.95,33,8,12,3,1,1,3,10.5,3,2,1
EMP00019,54,Female,Single,Support,Analyst,4,5394.82,27,11,5,2,0,3,2,11.1,1,4,0
EMP00020,33,Male,Single,R&D,Analyst,3,6222.15,15,19,5,4,1,2,3,16.9,0,3,0
EMP00021,43,Male,Single,R&D,Sales Rep,3,6384.97,3,16,3,1,0,4,3,19.2,1,4,0
EMP00022,46,Female,Married,Sales,Manager,4,8927.33,29,19,9,1,1,2,3,56.3,1,4,0
EMP00023,48,Female,Divorced,Support,Manager,3,5010.78,31,10,12,2,0,2,4,0.7,1,3,0
EMP00024,49,Female,Married,Sales,Sales Rep,3,4536.37,18,0,10,1,0,3,3,19.1,0,3,0
EMP00025,37,Male,Divorced,Sales,Sales Rep,1,4057.56,24,5,3,1,0,4,2,26.9,4,3,0
EMP00026,36,Female,Single,HR,Sales Rep,3,5921.85,8,9,9,1,0,2,4,28.1,2,3,1
EMP00027,24,Female,Married,Support,Manager,2,4808.39,29,7,0,3,1,3,2,0.4,1,3,0
EMP00028,58,Male,Married,HR,Developer,2,3733.59,9,13,5,2,1,4,3,10.8,5,3,0
EMP00029,28,Female,Single,HR,Executive,3,3685.12,30,18,13,2,0,3,3,19.7,1,4,0
EMP00030,42,Male,Divorced,HR,Sales Rep,3,6884.35,15,6,3,0,1,3,3,2.1,5,3,0
EMP00031,30,Female,Divorced,Engineering,Sales Rep,2,6322.27,12,6,12,0,1,3,3,8.6,3,3,0
EMP00032,39,Male,Divorced,R&D,Manager,3,6984.59,27,5,5,2,1,2,2,6.2,4,2,0
EMP00033,25,Female,Divorced,R&D,Manager,4,2860.6,31,18,7,2,1,3,4,2.0,2,3,1
EMP00034,46,Male,Single,Engineering,Executive,4,4463.52,13,10,8,3,1,3,2,5.0,4,3,0
EMP00035,35,Female,Single,Sales,Analyst,3,3627.86,15,0,8,4,0,3,2,3.6,0,2,0
EMP00036,30,Male,Single,Support,Manager,3,5200.86,5,5,13,0,0,2,4,19.0,3,4,0
EMP00037,47,Female,Single,Support,Executive,4,3814.31,25,12,13,4,0,2,3,13.2,4,3,0
EMP00038,23,Female,Married,Support,Manager,3,7095.39,12,17,0,2,1,2,3,0.1,1,3,1
EMP00039,41,Male,Married,HR,Manager,4,4464.41,9,1,4,1,0,3,3,8.1,4,3,0
EMP00040,49,Female,Married,Support,Manager,1,7784.63,26,16,11,0,1,2,3,0.3,2,3,0
EMP00041,28,Other,Single,Support,Developer,2,6293.16,9,16,6,2,0,2,3,25.6,0,2,0
EMP00042,29,Male,Divorced,Support,Developer,4,6356.87,5,1,0,0,0,2,3,0.4,5,3,0
EMP00043,56,Male,Married,R&D,Sales Rep,4,7591.72,7,0,5,1,0,3,4,2.0,5,2,0
EMP00044,35,Female,Married,Engineering,Developer,3,5103.91,31,11,0,0,1,2,3,2.3,4,2,0
EMP00045,38,Male,Single,Sales,Executive,5,6264.56,7,11,5,1,0,3,3,16.3,1,3,1
EMP00046,57,Male,Divorced,Engineering,Manager,3,5471.8,5,4,6,5,1,2,3,6.3,2,3,0
EMP00047,25,Male,Divorced,Support,Developer,4,3817.17,17,15,4,2,1,2,3,1.8,5,3,0
EMP00048,23,Male,Divorced,Sales,Manager,3,4052.49,11,15,1,3,0,3,1,1.5,5,4,0
