review_id,user_id,review_text,review_length,sentiment_score,platform,language,device_type,region,review_date,sentiment
REV00000,USER00861,Terrible service. Never coming back.,240,0.37,AppStore,en,Mobile,Germany,2022-05-26,positive
REV00001,USER03773,Very satisfied with the quality.,72,-1.09,Twitter,en,Mobile,UK,2022-07-30,positive
REV00002,USER03093,Worst purchase ever!,179,-0.12,AppStore,en,Mobile,US,2022-02-16,neutral
REV00003,USER00467,Terrible service. Never coming back.,61,1.08,Web,en,Desktop,Brazil,2021-05-03,negative
REV00004,USER04427,Very satisfied with the quality.,66,0.81,AppStore,en,Mobile,Germany,2022-06-25,positive
REV00005,USER03445,Good value for money.,178,0.57,AppStore,en,Tablet,UK,2022-11-05,neutral
REV00006,USER03172,Very satisfied with the quality.,203,0.42,AppStore,en,Desktop,UK,2020-09-20,neutral
REV00007,USER02920,Great product! Really loved it.,265,-0.74,Web,en,Mobile,Brazil,2022-12-06,positive
REV00008,USER00131,Good value for money.,30,0.14,Twitter,en,Mobile,US,2022-06-03,positive
REV00009,USER01686,"Amazing experience, will recommend.",173,0.78,AppStore,fr,Mobile,UK,2021-11-16,positive
REV00010,USER00770,"It was okay, nothing special.",239,-0.24,Amazon,en,Mobile,India,2023-07-07,positive
REV00011,USER02392,Terrible service. Never coming back.,174,-0.2,AppStore,en,Desktop,Germany,2021-03-03,positive
REV00012,USER02434,"Not bad, could be better.",206,-0.47,Web,en,Mobile,US,2021-08-26,positive
REV00013,USER01185,Completely disappointed.,81,-0.28,Web,es,Desktop,Germany,2020-12-03,neutral
REV00014,USER04556,"It was okay, nothing special.",167,-0.77,Amazon,en,Mobile,Germany,2020-09-01,positive
REV00015,USER03386,Good value for money.,163,0.02,Web,en,Mobile,Brazil,2021-05-31,positive
REV00016,USER04118,Completely disappointed.,122,-0.32,Web,en,Desktop,India,2020-03-12,positive
REV00017,USER04844,Terrible service. Never coming back.,112,-1.47,Web,en,Mobile,India,2020-05-05,positive
REV00018,USER02905,"Not bad, could be better.",138,2.6,Twitter,en,Mobile,Brazil,2023-04-19,negative
REV00019,USER00475,Worst purchase ever!,48,-1.04,Web,en,Mobile,Germany,2021-05-31,positive
REV00020,USER01083,Worst purchase ever!,49,-0.13,AppStore,en,Mobile,India,2022-11-24,neutral
REV00021,USER02559,"Not bad, could be better.",157,0.06,Amazon,en,Desktop,Germany,2020-01-23,positive
