user_id,age,gender,location,device_type,browser,campaign_id,ad_platform,ad_type,impression_date,clicked,time_spent_on_page,num_ads_seen_today,previous_clicks,campaign_budget,category
user_861,21,Other,India,Desktop,Safari,camp_109,LinkedIn,Carousel,2023-01-30 03:00:00,0,4.44,7,0,9856.15,Travel
user_1295,23,Other,Brazil,Tablet,Firefox,camp_171,Google,Banner,2023-01-04 13:00:00,0,9.64,8,2,12015.31,Travel
user_1131,31,Female,India,Mobile,Edge,camp_162,Google,Banner,2022-12-18 11:00:00,0,14.03,2,1,10611.26,Finance
user_1096,21,Male,Brazil,Mobile,Firefox,camp_135,Google,Banner,2023-01-15 23:00:00,0,15.3,6,2,10233.56,Electronics
user_1639,43,Male,Brazil,Mobile,Safari,camp_195,Facebook,Carousel,2022-12-05 10:00:00,0,9.74,5,3,12677.12,Finance
user_2170,64,Female,Germany,Desktop,Safari,camp_144,Twitter,Video,2022-10-28 03:00:00,0,17.65,5,1,12483.0,Fashion
user_467,56,Other,Brazil,Desktop,Safari,camp_105,Facebook,Carousel,2022-07-31 01:00:00,0,26.64,3,1,11007.65,Gaming
user_1239,34,Female,UK,Mobile,Opera,camp_105,Google,Video,2023-02-12 23:00:00,1,24.09,4,1,9232.49,Finance
user_331,36,Male,Japan,Mobile,Chrome,camp_190,Google,Video,2023-01-25 20:00:00,0,0.61,3,2,12085.02,Finance
user_1483,23,Other,Brazil,Desktop,Firefox,camp_165,Google,Video,2022-03-23 08:00:00,0,17.99,6,2,13265.15,Travel
user_2136,46,Female,UK,Desktop,Firefox,camp_172,Google,Video,2022-02-18 04:00:00,0,24.94,6,1,6949.03,Gaming
user_2920,28,Other,US,Mobile,Safari,camp_163,Twitter,Video,2022-06-18 23:00:00,0,4.48,6,1,7540.99,Fashion
user_131,33,Male,Germany,Mobile,Opera,camp_137,LinkedIn,Carousel,2022-11-07 01:00:00,0,18.51,4,3,10476.4,Gaming
user_1686,47,Male,India,Desktop,Firefox,camp_168,Facebook,Banner,2022-03-28 01:00:00,0,2.35,5,4,11486.7,Electronics
user_770,42,Male,France,Mobile,Firefox,camp_197,Twitter,Video,2022-06-13 11:00:00,0,21.87,5,3,9784.35,Electronics
user_2392,57,Female,India,Tablet,Opera,camp_160,LinkedIn,Carousel,2022-06-14 06:00:00,0,19.37,7,4,7841.51,Gaming
user_1516,28,Other,India,Mobile,Safari,camp_177,Google,Carousel,2022-02-27 15:00:00,0,5.51,3,3,9501.78,Finance
user_2854,24,Female,Japan,Desktop,Opera,camp_173,Twitter,Carousel,2022-03-20 03:00:00,0,41.64,2,2,12533.67,Gaming
user_2434,43,Female,France,Mobile,Chrome,camp_162,Twitter,Carousel,2022-03-16 19:00:00,0,32.86,3,3,12900.18,Finance
user_1216,39,Female,Japan,Tablet,Firefox,camp_170,Twitter,Carousel,2022-01-01 21:00:00,0,26.87,2,0,11554.27,Gaming
user_956,42,Female,Germany,Mobile,Chrome,camp_119,Facebook,Video,2022-09-23 00:00:00,0,12.31,3,2,13355.02,Gaming
user_2325,36,Other,Brazil,Mobile,Firefox,camp_174,LinkedIn,Banner,2022-10-19 12:00:00,0,5.15,7,2,11772.55,Finance
user_1185,48,Other,US,Mobile,Chrome,camp_176,LinkedIn,Video,2022-10-04 13:00:00,0,30.48,4,3,8503.47,Gaming
user_460,43,Female,India,Desktop,Firefox,camp_163,Facebook,Video,2022-12-16 16:00:00,0,4.83,3,1,12189.72,Electronics
user_22,59,Female,Japan,Mobile,Safari,camp_180,LinkedIn,Banner,2023-01-31 00:00:00,0,13.35,5,3,7697.25,Fashion
user_2301,58,Male,Brazil,Mobile,Edge,camp_136,Google,Video,2022-06-07 02:00:00,0,9.52,7,4,7162.93,Gaming
