customer_id,signup_date,last_active_date,tenure_months,subscription_type,monthly_fee,auto_renew,payment_method,num_logins_last_30d,support_tickets,feature_usage_score,discount_used,referral_channel,country,is_churned
CUST00000,2019-01-01 00:00:00.000000000,2019-05-13 00:00:00.000000000,64,Basic,0,1,Wallet,11,2,26.61,1,Organic,France,0
CUST00001,2019-01-01 03:30:24.302430243,2020-04-10 03:30:24.302430243,64,Premium,30,0,PayPal,13,2,33.55,1,Referral,France,0
CUST00002,2019-01-01 07:00:48.604860486,2021-06-09 07:00:48.604860486,64,Premium,0,1,Wallet,18,5,17.55,0,Partner,Canada,0
CUST00003,2019-01-01 10:31:12.907290729,2019-10-28 10:31:12.907290729,64,Premium,30,1,Other,9,2,26.07,0,Organic,UK,0
CUST00004,2019-01-01 14:01:37.209720972,2019-05-17 14:01:37.209720972,64,Premium,10,1,Other,17,4,6.42,0,Partner,India,0
CUST00005,2019-01-01 17:32:01.512151215,2019-04-12 17:32:01.512151215,64,Premium,10,1,Other,15,2,22.44,1,Partner,UK,1
CUST00006,2019-01-01 21:02:25.814581458,2020-12-31 21:02:25.814581458,64,Free,0,0,Wallet,15,0,55.41,1,Partner,US,0
CUST00007,2019-01-02 00:32:50.117011701,2019-02-21 00:32:50.117011701,64,Basic,10,1,PayPal,9,1,24.71,0,Paid,France,1
CUST00008,2019-01-02 04:03:14.419441944,2020-10-07 04:03:14.419441944,64,Basic,30,0,PayPal,14,0,36.18,1,Referral,UK,0
CUST00009,2019-01-02 07:33:38.721872187,2019-06-02 07:33:38.721872187,64,Premium,0,1,Wallet,9,3,20.79,1,Organic,US,0
CUST00010,2019-01-02 11:04:03.024302430,2020-05-12 11:04:03.024302430,64,Basic,10,1,Card,17,1,37.05,1,Referral,France,1
CUST00011,2019-01-02 14:34:27.326732673,2019-09-03 14:34:27.326732673,64,Premium,0,1,Card,11,3,47.96,0,Paid,India,0
CUST00012,2019-01-02 18:04:51.629162916,2019-12-28 18:04:51.629162916,64,Premium,10,0,Other,14,1,35.81,0,Partner,US,1
CUST00013,2019-01-02 21:35:15.931593159,2020-05-04 21:35:15.931593159,64,Basic,0,1,PayPal,6,2,30.23,0,Organic,US,0
CUST00014,2019-01-03 01:05:40.234023402,2019-04-30 01:05:40.234023402,64,Basic,10,1,Wallet,10,1,22.92,0,Organic,Canada,0
CUST00015,2019-01-03 04:36:04.536453645,2020-02-09 04:36:04.536453645,64,Basic,30,0,PayPal,10,2,44.56,0,Paid,France,1
CUST00016,2019-01-03 08:06:28.838883888,2019-05-12 08:06:28.838883888,64,Basic,10,1,PayPal,17,1,29.46,0,Paid,France,1
CUST00017,2019-01-03 11:36:53.141314131,2020-11-26 11:36:53.141314131,64,Basic,10,1,Card,12,1,42.73,0,Partner,Canada,0
CUST00018,2019-01-03 15:07:17.443744374,2019-06-12 15:07:17.443744374,64,Free,10,1,PayPal,14,0,16.33,0,Paid,US,0
CUST00019,2019-01-03 18:37:41.746174617,2020-11-24 18:37:41.746174617,64,Premium,0,1,PayPal,18,1,18.97,0,Referral,France,1
CUST00020,2019-01-03 22:08:06.048604860,2019-12-07 22:08:06.048604860,64,Premium,10,1,Wallet,12,1,7.01,1,Partner,India,0
CUST00021,2019-01-04 01:38:30.351035103,2021-03-13 01:38:30.351035103,64,Basic,10,1,Wallet,12,2,37.94,1,Partner,India,0
CUST00022,2019-01-04 05:08:54.653465346,2020-01-12 05:08:54.653465346,64,Basic,10,1,PayPal,18,0,24.87,1,Referral,France,1
CUST00023,2019-01-04 08:39:18.955895589,2020-06-08 08:39:18.955895589,64,Free,30,1,PayPal,16,1,30.87,0,Paid,UK,0
CUST00024,2019-01-04 12:09:43.258325832,2020-03-22 12:09:43.258325832,64,Premium,10,0,Wallet,7,3,59.97,1,Organic,France,0
CUST00025,2019-01-04 15:40:07.560756075,2021-04-18 15:40:07.560756075,64,Premium,30,1,Card,10,0,6.29,0,Organic,Germany,0
CUST00026,2019-01-04 19:10:31.863186318,2020-02-23 19:10:31.863186318,64,Free,30,1,Wallet,11,1,33.35,0,Organic,US,0
CUST00027,2019-01-04 22:40:56.165616561,2019-08-13 22:40:56.165616561,64,Free,0,1,Wallet,9,1,56.29,0,Organic,Canada,1
CUST00028,2019-01-05 02:11:20.468046804,2019-11-07 02:11:20.468046804,64,Premium,10,0,Wallet,22,1,47.74,0,Partner,France,1
CUST00029,2019-01-05 05:41:44.770477047,2019-07-14 05:41:44.770477047,64,Premium,10,1,Wallet,8,3,7.73,0,Partner,India,1
CUST00030,2019-01-05 09:12:09.072907290,2020-05-08 09:12:09.072907290,64,Free,0,1,Wallet,18,0,21.56,0,Partner,India,0
CUST00031,2019-01-05 12:42:33.375337533,2019-12-14 12:42:33.375337533,64,Premium,30,0,Card,7,3,29.06,0,Referral,India,0
CUST00032,2019-01-05 16:12:57.677767776,2019-02-25 16:12:57.677767776,64,Basic,30,1,Other,12,0,30.41,1,Partner,India,0
CUST00033,2019-01-05 19:43:21.980198019,2019-10-14 19:43:21.980198019,64,Basic,10,1,Wallet,15,2,31.45,0,Paid,India,0
CUST00034,2019-01-05 23:13:46.282628262,2021-02-20 23:13:46.282628262,64,Premium,10,1,Wallet,14,1,17.18,0,Paid,UK,0
CUST00035,2019-01-06 02:44:10.585058505,2021-06-10 02:44:10.585058505,64,Premium,0,1,Card,10,2,13.76,1,Paid,Germany,0
CUST00036,2019-01-06 06:14:34.887488748,2020-08-18 06:14:34.887488748,64,Basic,10,1,Other,15,1,9.12,1,Referral,US,0
CUST00037,2019-01-06 09:44:59.189918991,2020-05-24 09:44:59.189918991,64,Premium,30,1,PayPal,12,2,21.26,1,Organic,Germany,1
CUST00038,2019-01-06 13:15:23.492349234,2019-04-04 13:15:23.492349234,64,Basic,10,1,Card,14,0,53.05,0,Paid,US,1
CUST00039,2019-01-06 16:45:47.794779477,2020-06-29 16:45:47.794779477,64,Premium,10,1,Wallet,22,3,26.29,1,Partner,India,0
CUST00040,2019-01-06 20:16:12.097209720,2020-12-17 20:16:12.097209720,64,Basic,30,0,PayPal,11,2,32.4,1,Organic,UK,1
CUST00041,2019-01-06 23:46:36.399639963,2020-05-25 23:46:36.399639963,64,Premium,10,1,Card,14,1,6.27,1,Paid,Canada,0
CUST00042,2019-01-07 03:17:00.702070207,2021-01-05 03:17:00.702070207,64,Premium,10,0,PayPal,13,3,44.91,0,Paid,India,0
CUST00043,2019-01-07 06:47:25.004500450,2021-03-29 06:47:25.004500450,64,Free,10,1,Card,9,1,31.93,1,Partner,Germany,0
CUST00044,2019-01-07 10:17:49.306930693,2019-08-14 10:17:49.306930693,64,Premium,10,1,Card,16,0,26.67,0,Paid,US,1
CUST00045,2019-01-07 13:48:13.609360936,2020-12-23 13:48:13.609360936,64,Premium,30,1,PayPal,16,3,9.86,1,Partner,India,0
CUST00046,2019-01-07 17:18:37.911791179,2020-08-21 17:18:37.911791179,64,Premium,30,1,Other,14,2,20.59,0,Paid,Canada,0
CUST00047,2019-01-07 20:49:02.214221422,2020-08-25 20:49:02.214221422,64,Basic,0,1,PayPal,16,1,38.77,1,Paid,France,0
CUST00048,2019-01-08 00:19:26.516651665,2019-10-08 00:19:26.516651665,64,Premium,30,0,PayPal,9,2,12.66,0,Referral,India,1
CUST00049,2019-01-08 03:49:50.819081908,2021-05-18 03:49:50.819081908,64,Premium,10,0,Other,16,1,30.13,0,Partner,Germany,0
CUST00050,2019-01-08 07:20:15.121512151,2020-06-25 07:20:15.121512151,64,Basic,30,1,PayPal,19,1,52.99,0,Organic,UK,0
CUST00051,2019-01-08 10:50:39.423942394,2019-06-17 10:50:39.423942394,64,Premium,30,1,Other,10,0,17.7,1,Organic,Germany,0
CUST00052,2019-01-08 14:21:03.726372637,2020-06-05 14:21:03.726372637,64,Free,10,1,Other,10,2,10.01,0,Referral,Canada,0
CUST00053,2019-01-08 17:51:28.028802880,2021-05-05 17:51:28.028802880,64,Free,30,1,Other,12,4,7.63,1,Partner,US,0
CUST00054,2019-01-08 21:21:52.331233123,2020-11-14 21:21:52.331233123,64,Basic,0,1,Wallet,13,2,31.38,1,Organic,US,0
CUST00055,2019-01-09 00:52:16.633663366,2019-02-28 00:52:16.633663366,64,Basic,0,1,Card,8,2,47.17,0,Referral,Canada,1
CUST00056,2019-01-09 04:22:40.936093609,2021-05-28 04:22:40.936093609,64,Premium,30,1,Wallet,10,1,7.89,1,Paid,UK,0
CUST00057,2019-01-09 07:53:05.238523852,2019-07-24 07:53:05.238523852,64,Free,30,1,Card,13,1,20.88,0,Organic,France,1
CUST00058,2019-01-09 11:23:29.540954095,2019-11-08 11:23:29.540954095,64,Premium,30,0,Wallet,6,2,42.22,0,Organic,France,0
CUST00059,2019-01-09 14:53:53.843384338,2020-03-01 14:53:53.843384338,64,Free,30,1,Other,13,2,55.2,0,Partner,US,1
CUST00060,2019-01-09 18:24:18.145814581,2020-09-30 18:24:18.145814581,64,Free,10,1,Wallet,12,2,15.29,0,Referral,India,0
CUST00061,2019-01-09 21:54:42.448244824,2019-12-20 21:54:42.448244824,64,Free,10,1,Card,12,0,54.18,1,Referral,France,0
CUST00062,2019-01-10 01:25:06.750675067,2019-02-22 01:25:06.750675067,64,Basic,30,0,Wallet,10,3,10.56,0,Partner,India,0
CUST00063,2019-01-10 04:55:31.053105310,2019-10-08 04:55:31.053105310,64,Premium,10,0,PayPal,17,1,20.06,0,Partner,US,0
