user_id,num_product_views,avg_view_time,click_through_rate,avg_cart_value,purchase_frequency,num_categories_browsed,used_discount,membership_status,device_type,referral_channel,days_since_last_login
USER00000,18,54.01,0.23,103.57,1.25,3,1,Silver,Mobile,Email,37
USER00001,10,34.41,0.23,93.5,1.23,5,1,Gold,Mobile,Direct,50
USER00002,16,30.05,0.41,80.26,0.96,7,1,Free,Mobile,Email,12
USER00003,19,56.21,0.12,50.54,3.24,4,1,Silver,Desktop,Direct,40
USER00004,11,10.39,0.29,112.23,0.19,5,0,Free,Mobile,Ads,39
USER00005,13,9.98,0.24,106.59,1.89,5,0,Free,Desktop,Ads,58
USER00006,14,57.67,0.13,74.2,1.71,1,1,Silver,Tablet,Ads,89
USER00007,16,54.76,0.4,123.26,0.1,7,1,Free,Mobile,Ads,15
USER00008,12,47.73,0.18,104.38,0.37,3,1,Free,Mobile,Email,81
USER00009,14,27.4,0.48,54.32,2.32,2,0,Free,Desktop,Email,26
USER00010,11,59.88,0.27,60.93,0.4,3,0,Free,Mobile,Ads,33
USER00011,16,58.61,0.25,85.69,1.29,3,0,Free,Tablet,Ads,33
USER00012,16,46.71,0.25,70.11,0.13,6,0,Free,Mobile,Social,8
USER00013,13,21.45,0.34,82.07,0.38,6,0,Silver,Desktop,Email,12
USER00014,17,36.5,0.18,44.65,3.32,2,1,Free,Desktop,Social,22
USER00015,10,61.76,0.3,54.32,0.67,8,0,Gold,Desktop,Social,34
USER00016,12,71.54,0.29,77.25,2.46,4,1,Free,Mobile,Social,35
USER00017,13,38.47,0.22,82.69,0.98,5,1,Gold,Desktop,Ads,33
USER00018,15,40.01,0.46,81.4,0.58,3,1,Free,Desktop,Email,44
USER00019,9,41.77,0.11,36.55,1.25,5,1,Silver,Mobile,Ads,22
USER00020,6,50.5,0.28,79.83,1.15,4,1,Silver,Mobile,Ads,70
USER00021,14,33.38,0.47,104.95,6.28,5,0,Free,Desktop,Ads,11
USER00022,19,-12.88,0.43,62.84,0.63,4,0,Silver,Mobile,Direct,49
USER00023,12,68.86,0.17,54.03,1.59,4,1,Free,Tablet,Direct,1
USER00024,10,80.89,0.08,61.87,1.75,7,0,Silver,Mobile,Direct,10
USER00025,18,32.75,0.73,65.35,1.48,2,0,Free,Desktop,Email,38
USER00026,17,23.67,0.54,110.44,0.98,6,1,Free,Desktop,Direct,46
USER00027,18,42.26,0.29,37.0,2.3,4,1,Silver,Mobile,Social,64
USER00028,13,41.25,0.51,44.97,2.19,5,0,Free,Mobile,Email,32
USER00029,20,64.91,0.21,12.22,4.79,2,1,Platinum,Desktop,Email,83
USER00030,13,46.09,0.3,110.41,5.66,4,0,Free,Mobile,Email,85
USER00031,13,29.15,0.42,84.14,0.36,2,1,Platinum,Mobile,Direct,22
USER00032,18,18.63,0.35,37.82,1.59,2,0,Free,Mobile,Direct,34
USER00033,21,62.31,0.19,68.42,2.91,3,0,Gold,Mobile,Direct,26
